ID,Age,Income,Education,Marital_Status,Total_Spending,Total_Purchases,Total_Children,Recency,NumWebVisitsMonth,Cluster_KMeans,Customer_Segment,Cluster_HAC,HAC_Segment,Cluster_GMM,GMM_Segment
5524,68,58138.0,Graduation,Single,1617,25,0,58,7,1,Premium Customers,0,Premium Customers,2,Standard Customers
4141,60,71613.0,Graduation,Together,776,21,0,26,4,2,Standard Customers,0,Premium Customers,2,Standard Customers
5324,44,58293.0,PhD,Married,422,19,1,94,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
7446,58,62513.0,Master,Together,716,22,1,16,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
965,54,55635.0,Graduation,Divorced,590,21,1,34,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
2125,66,63033.0,Graduation,Divorced,1102,16,0,82,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
4939,79,37760.0,Graduation,Together,317,13,0,20,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
9360,43,37040.0,Graduation,Married,316,12,0,41,8,0,Budget Shoppers,2,Budget Shoppers,2,Standard Customers
5376,46,2447.0,Graduation,Married,1730,43,1,42,1,1,Premium Customers,1,Standard Customers,2,Standard Customers
1993,76,58607.0,PhD,Married,972,17,1,63,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
4047,71,65324.0,PhD,Married,544,20,1,0,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
1409,74,40689.0,Graduation,Together,444,20,1,69,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
5255,39,51381.5,Graduation,Single,637,27,1,19,1,2,Standard Customers,1,Standard Customers,2,Standard Customers
3033,62,38620.0,Master,Together,318,11,0,56,3,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
5710,55,40548.0,Graduation,Together,120,9,1,31,5,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
8755,79,68657.0,Master,Married,1196,18,0,4,7,1,Premium Customers,0,Premium Customers,2,Standard Customers
4339,55,67353.0,PhD,Married,913,28,1,37,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
2968,82,48948.0,PhD,Divorced,902,24,0,53,6,1,Premium Customers,1,Standard Customers,2,Standard Customers
8601,45,80011.0,Graduation,Married,1395,21,1,3,4,1,Premium Customers,0,Premium Customers,2,Standard Customers
1371,49,79941.0,Graduation,Single,984,16,0,72,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
6566,71,72550.0,PhD,Married,1319,28,2,39,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
8614,68,65486.0,Graduation,Widow,507,17,1,29,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
4114,61,79143.0,Master,Married,1693,29,0,2,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
9381,47,66373.0,Graduation,Married,606,23,2,57,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
10383,59,70287.0,Graduation,Divorced,1093,21,0,30,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
3076,50,66653.0,Graduation,Together,612,22,2,18,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
1012,73,61823.0,Graduation,Single,884,24,1,26,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
6518,74,67680.0,PhD,Widow,606,19,1,8,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
4137,77,70666.0,Graduation,Together,1076,16,0,29,4,1,Premium Customers,0,Premium Customers,2,Standard Customers
4477,67,69096.0,Graduation,Together,653,18,1,4,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
1357,55,74854.0,Graduation,Together,1562,19,3,90,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
1402,71,66991.0,Master,Married,1253,21,0,1,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
6312,66,65031.0,Graduation,Married,863,30,1,29,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
8132,50,60631.0,PhD,Married,661,24,2,88,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
1859,53,75251.0,Master,Married,1890,19,0,34,5,1,Premium Customers,0,Premium Customers,2,Standard Customers
7503,49,75825.0,Graduation,Single,2209,22,0,40,4,1,Premium Customers,1,Standard Customers,2,Standard Customers
1618,60,56046.0,Graduation,Together,692,21,0,9,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
4119,62,38620.0,Master,Together,318,11,0,56,3,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
535,38,81361.0,Graduation,Divorced,778,27,0,18,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
273,55,36138.0,Master,Married,151,13,2,48,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
8996,68,51381.5,PhD,Married,603,29,3,4,9,2,Standard Customers,1,Standard Customers,2,Standard Customers
5798,52,51381.5,Master,Together,985,15,0,87,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
7247,65,47916.0,Graduation,Widow,606,22,1,72,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
3037,42,50150.0,PhD,Married,410,16,0,32,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
4518,46,85693.0,Graduation,Together,1169,27,1,59,5,1,Premium Customers,1,Standard Customers,2,Standard Customers
9370,80,65846.0,PhD,Married,1120,16,0,68,4,1,Premium Customers,1,Standard Customers,2,Standard Customers
8908,66,87195.0,Graduation,Married,1097,20,0,35,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
2683,56,52413.0,Graduation,Married,910,26,2,56,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
10991,65,89058.0,Master,Married,850,14,0,18,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
5077,46,77298.0,Graduation,Together,969,24,1,46,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
7431,34,68126.0,PhD,Single,1820,17,0,40,9,1,Premium Customers,0,Premium Customers,2,Standard Customers
3267,62,57288.0,Master,Together,608,20,1,27,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
367,47,36550.0,2n Cycle,Married,577,20,1,74,9,2,Standard Customers,1,Standard Customers,2,Standard Customers
9805,72,56129.0,Master,Together,660,22,1,65,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
1491,60,71488.0,2n Cycle,Together,559,16,0,87,1,2,Standard Customers,1,Standard Customers,2,Standard Customers
11071,41,79607.0,Graduation,Single,1923,16,0,37,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
8026,73,62998.0,Graduation,Married,463,19,1,10,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
433,67,61331.0,Master,Alone,632,23,2,42,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
9597,56,73448.0,Graduation,Married,725,19,0,10,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
1295,62,51381.5,Graduation,Married,725,19,1,96,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
1685,58,62981.0,PhD,Together,1482,23,0,21,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
821,33,92859.0,Master,Single,2077,22,0,46,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
11084,49,65104.0,Master,Together,1053,17,1,4,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
8690,63,86111.0,Graduation,Married,1385,23,0,73,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
2937,51,68352.0,PhD,Single,871,25,1,47,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
9701,37,41883.0,Graduation,Together,312,12,1,13,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
9949,49,59809.0,Graduation,Married,877,15,2,36,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
3830,72,59354.0,Master,Married,459,16,2,59,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
7987,56,65747.0,Graduation,Married,460,19,1,96,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
7055,73,61010.0,PhD,Together,1021,26,1,57,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
2730,70,80317.0,Graduation,Single,1231,18,0,64,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
9260,80,70356.0,PhD,Married,1706,27,0,20,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
10095,50,74165.0,PhD,Divorced,1293,20,0,9,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
10573,72,62551.0,Graduation,Divorced,421,18,0,27,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
3712,66,52332.0,Graduation,Divorced,259,12,0,63,4,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
6637,37,66951.0,Graduation,Single,1117,15,0,46,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
8717,50,80427.0,PhD,Married,1835,28,1,56,5,1,Premium Customers,0,Premium Customers,2,Standard Customers
10562,79,66835.0,Master,Married,1033,24,0,21,2,2,Standard Customers,0,Premium Customers,2,Standard Customers
3934,59,61286.0,Graduation,Married,608,18,1,34,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
6982,49,74068.0,Graduation,Married,1581,24,0,14,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
5602,36,66973.0,PhD,Together,1282,28,0,98,3,1,Premium Customers,1,Standard Customers,2,Standard Customers
6999,45,69661.0,Master,Married,834,23,0,80,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
6422,71,86718.0,Graduation,Married,1270,17,0,20,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
7300,73,69142.0,Graduation,Divorced,535,19,1,50,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
10424,57,75922.0,Graduation,Single,1295,18,0,60,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
8727,47,63693.0,Graduation,Divorced,1150,29,1,63,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
380,71,64497.0,Graduation,Divorced,1804,29,1,17,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
2677,69,46097.0,Graduation,Together,241,15,1,11,4,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
6521,71,77972.0,Graduation,Together,1101,20,0,18,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
2877,51,46014.0,Master,Together,541,26,2,21,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
0,40,70951.0,Graduation,Married,1198,17,0,66,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
1584,48,41443.0,Graduation,Married,482,20,1,79,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
454,45,69508.0,Graduation,Together,1135,28,1,48,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
2075,56,72460.0,Graduation,Married,1047,16,0,56,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
4785,55,77622.0,PhD,Together,714,22,2,3,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
7079,63,63887.0,Graduation,Divorced,1245,32,1,38,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
7375,49,51369.0,Graduation,Together,576,16,1,84,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
709,73,51537.0,Graduation,Divorced,1103,18,1,27,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
460,53,79930.0,PhD,Married,1753,17,0,72,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
3233,60,62745.0,PhD,Married,1117,29,1,89,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
9449,67,79761.0,PhD,Single,605,19,1,32,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
313,57,73455.0,Graduation,Widow,2088,22,0,98,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
9940,67,64961.0,Graduation,Together,1009,16,1,97,3,1,Premium Customers,1,Standard Customers,2,Standard Customers
6439,67,61074.0,Graduation,Married,1102,31,1,37,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
9265,72,75027.0,Graduation,Married,1390,21,1,74,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
8867,37,67546.0,PhD,Married,2126,20,0,90,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
8932,56,65176.0,Master,Together,1531,25,1,57,6,1,Premium Customers,1,Standard Customers,2,Standard Customers
10992,58,75702.0,Graduation,Together,1148,26,2,77,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
309,64,63342.0,PhD,Together,1101,19,1,48,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
1184,57,69674.0,PhD,Divorced,845,25,2,46,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
1225,62,80124.0,Graduation,Married,1495,19,0,47,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
291,55,72940.0,Graduation,Married,981,13,0,13,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
2379,72,69267.0,Graduation,Single,1635,14,0,31,7,1,Premium Customers,0,Premium Customers,2,Standard Customers
2304,62,66313.0,PhD,Together,770,23,1,86,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
3445,69,60714.0,Graduation,Single,957,23,0,56,5,1,Premium Customers,0,Premium Customers,2,Standard Customers
7828,44,77882.0,Master,Together,818,12,0,29,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
4391,57,63841.0,Master,Divorced,908,22,1,64,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
10144,49,51369.0,Graduation,Together,576,16,1,84,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
8652,79,37760.0,Graduation,Together,317,13,0,20,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
10983,73,75278.0,Graduation,Together,930,23,0,17,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
8148,69,50898.0,Master,Together,859,33,2,88,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
10102,59,79946.0,Graduation,Widow,1478,22,0,19,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
7119,43,68627.0,Graduation,Single,825,12,0,45,1,1,Premium Customers,1,Standard Customers,2,Standard Customers
3924,60,57912.0,PhD,Divorced,916,28,1,34,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
5596,69,58821.0,2n Cycle,Together,728,21,1,44,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
4440,61,64100.0,Master,Married,546,18,1,93,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
6320,49,70893.0,Master,Single,1508,23,0,42,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
9478,40,66503.0,Graduation,Single,401,15,1,30,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
1802,54,64795.0,Graduation,Married,680,21,1,23,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
9750,64,64325.0,PhD,Divorced,1307,23,1,41,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
7214,68,62187.0,Graduation,Married,1283,18,0,49,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
10675,69,66334.0,PhD,Married,1161,19,1,82,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
10151,65,62204.0,Graduation,Divorced,946,22,2,38,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
10172,37,68655.0,Graduation,Single,1538,21,0,95,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
6245,75,59292.0,PhD,Together,507,18,1,71,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
1411,73,82623.0,Graduation,Divorced,940,16,0,58,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
1826,55,84835.0,Graduation,Divorced,1190,15,0,0,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
2579,68,71113.0,Graduation,Married,835,26,1,95,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
9185,59,69759.0,PhD,Single,1029,18,0,38,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
11056,51,72099.0,Graduation,Married,1188,18,0,18,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
9365,49,60000.0,PhD,Single,1277,24,1,57,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
2061,70,50737.0,Graduation,Married,99,7,1,61,6,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
6184,56,68462.0,PhD,Married,1670,15,0,6,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
6142,82,65073.0,Master,Married,900,14,0,65,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
4107,77,46681.0,PhD,Together,425,16,2,52,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
7274,68,78618.0,Graduation,Married,2153,22,0,87,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
10704,56,54803.0,Graduation,Single,693,19,1,65,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
5125,65,79530.0,Graduation,Married,1348,26,0,64,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
5955,63,72025.0,Graduation,Together,1932,16,0,27,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
2928,50,52614.0,PhD,Single,990,16,1,63,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
1245,59,63810.0,Graduation,Single,1371,23,1,45,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
1729,64,66426.0,PhD,Together,1377,20,1,14,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
6878,71,27421.0,Graduation,Widow,324,14,0,14,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
6720,57,43795.0,Master,Together,492,17,1,11,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
6202,65,63381.0,Graduation,Together,1005,26,1,78,2,2,Standard Customers,1,Standard Customers,2,Standard Customers
9799,57,83664.0,PhD,Divorced,1173,19,2,57,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
2669,32,74293.0,Graduation,Single,1127,16,0,66,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
7683,57,70777.0,Master,Married,787,23,1,80,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
3428,34,68682.0,PhD,Together,1598,24,0,56,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
9999,60,75276.0,Graduation,Together,1040,23,0,2,5,1,Premium Customers,0,Premium Customers,2,Standard Customers
615,65,30507.0,Graduation,Together,343,11,0,29,7,0,Budget Shoppers,1,Standard Customers,2,Standard Customers
2552,70,55521.0,PhD,Single,446,24,3,11,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
10882,49,53858.0,Graduation,Married,915,17,1,50,4,2,Standard Customers,1,Standard Customers,2,Standard Customers
7422,38,46923.0,Graduation,Single,369,16,1,90,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
3523,63,75072.0,Graduation,Together,1073,19,1,83,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
7106,82,75865.0,PhD,Married,1242,19,0,73,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
8581,54,49505.0,Master,Married,751,29,2,4,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
3767,57,61314.0,Graduation,Married,1008,24,1,1,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
4324,36,42387.0,Graduation,Married,684,21,1,42,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
238,58,67309.0,2n Cycle,Together,1082,39,2,76,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
6694,61,75236.0,Graduation,Married,1068,25,1,27,4,2,Standard Customers,0,Premium Customers,2,Standard Customers
9699,59,67272.0,Graduation,Divorced,733,23,1,12,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
1142,72,55707.0,PhD,Married,428,16,1,91,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
2276,70,57959.0,Graduation,Single,868,27,1,71,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
2807,56,56796.0,Graduation,Married,1001,27,1,24,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
6131,45,70829.0,2n Cycle,Married,431,16,2,87,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
6233,49,65991.0,Graduation,Married,971,27,1,21,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
10648,43,66664.0,2n Cycle,Together,1289,19,0,78,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
7851,76,70165.0,Graduation,Widow,926,22,0,60,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
7059,62,80124.0,Graduation,Married,1495,19,0,47,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
2416,56,66582.0,PhD,Single,1288,20,0,83,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
9697,74,53790.0,Graduation,Married,542,20,2,86,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
3916,54,49269.0,PhD,Together,890,25,1,92,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
2021,50,61456.0,Graduation,Married,1388,33,1,47,4,1,Premium Customers,1,Standard Customers,2,Standard Customers
564,44,56937.0,PhD,Together,906,30,1,81,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
178,69,62503.0,Graduation,Married,973,26,1,40,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
8970,53,62010.0,PhD,Married,530,19,1,93,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
10581,48,41124.0,Graduation,Married,506,21,1,41,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
9286,65,83151.0,Master,Together,747,19,0,93,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
2426,61,78825.0,PhD,Divorced,895,29,0,35,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
5172,49,65104.0,Master,Together,1053,17,1,4,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
5562,51,60093.0,Graduation,Married,735,21,1,92,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
3403,67,78952.0,PhD,Together,2092,21,1,11,6,1,Premium Customers,1,Standard Customers,2,Standard Customers
9426,61,58308.0,Master,Single,900,15,1,77,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
6605,81,55614.0,PhD,Divorced,682,20,0,85,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
3136,63,59432.0,Master,Divorced,663,22,1,88,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
11088,54,78642.0,PhD,Together,1816,18,1,83,6,1,Premium Customers,1,Standard Customers,2,Standard Customers
716,76,67911.0,PhD,Together,976,27,1,63,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
466,81,65275.0,Graduation,Married,746,21,0,9,2,2,Standard Customers,0,Premium Customers,2,Standard Customers
8151,35,24279.0,Basic,Married,263,9,0,6,8,0,Budget Shoppers,2,Budget Shoppers,2,Standard Customers
5140,40,64355.0,PhD,Married,1445,21,1,66,8,2,Standard Customers,1,Standard Customers,2,Standard Customers
4945,72,53653.0,Graduation,Widow,1210,28,0,29,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
10584,49,65665.0,Graduation,Married,945,24,1,77,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
6071,36,81217.0,Graduation,Single,1157,22,0,77,1,1,Premium Customers,0,Premium Customers,2,Standard Customers
8939,66,61250.0,Graduation,Divorced,730,25,1,49,5,2,Standard Customers,1,Standard Customers,2,Standard Customers
4320,46,60152.0,Graduation,Single,943,23,1,6,3,1,Premium Customers,0,Premium Customers,2,Standard Customers
5389,61,48920.0,Graduation,Married,347,16,2,93,7,2,Standard Customers,1,Standard Customers,2,Standard Customers
203,50,81169.0,Master,Single,2089,22,0,47,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
4607,66,71367.0,Graduation,Together,777,17,0,24,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
2532,38,73454.0,Master,Single,1651,13,0,95,5,1,Premium Customers,1,Standard Customers,2,Standard Customers
4322,67,77863.0,PhD,Together,1291,20,0,20,2,1,Premium Customers,0,Premium Customers,2,Standard Customers
713,48,50353.0,Master,Married,442,15,0,72,3,2,Standard Customers,1,Standard Customers,2,Standard Customers
4702,61,61839.0,Graduation,Single,1895,17,0,20,8,1,Premium Customers,0,Premium Customers,2,Standard Customers
3281,65,49154.0,PhD,Married,411,19,2,69,6,2,Standard Customers,1,Standard Customers,2,Standard Customers
